Accession,control mean,test mean
101AV/Ge-0,7.34171,3.0332
157AV/Ita-0,16.8532333333,2.9281
162AV/Ct-1,4.40857666667,2.51628333333
163AV/Can-0,6.43888,5.5224
166AV/Cvi-0,4.04630333333,2.6297
172AV/Bur-0,4.34518,3.26443333333
180AV/Blh-1,4.10196333333,2.75213
186AV/Col-0,6.63481,3.06586666667
200AV/Gre-0,7.98113,5.6213
215AV/Mh-1,6.44328,2.88797333333
224AV/Oy-0,6.0454,3.30096666667
236AV/Shadahra,11.7197966667,7.75832333333
252AV/Akita,5.56852666667,3.39342666667
257AV/Sakata,6.0454,3.30097
25AV/Jea,4.38258666667,2.88247666667
266AV/N13,3.98024333333,2.84293333333
42AV/Bl-1,4.36454,2.33866666667
62AV/St-0,6.36309666667,2.6133
70AV/Kn-0,5.17864666667,2.72956666667
83AV/Edi-0,4.81462333333,3.22921333333
8AV/Pyl-1,4.63284,2.88351666667
91AV/Tsu-0,3.98694,2.69584
94AV/Mt-0,4.33104,2.00843333333
96AV/An-1,4.80649666667,2.1862
